metric,genome_hash,genome_id,ce,accuracy,f1_macro,fpr,threshold_mode,experiment_id
accuracy,17174b843bf68165,779020,0.153224832306755,0.990502088608761,0.911415293479215,0.030067519884902,beta,8861
accuracy,17174b843bf68165,779020,0.153224832306755,0.992230850921186,0.920317284461834,0.102327000213987,empirical,8861
accuracy,17174b843bf68165,779020,0.153224832306755,0.991659380490068,0.919246527801442,0.0496633111605862,empirical_cumulative,8861
accuracy,17174b843bf68165,779020,0.153224832306755,0.984370669258703,0.871231276294147,0.000523586430460893,fixed_05,8861
accuracy,17174b843bf68165,779020,0.153224832306755,0.990525971274829,0.911500216400492,0.0314379504550649,platt,8861
accuracy,17174b843bf68165,779020,0.153224832306755,0.992230850921186,0.920317284461834,0.102327000213987,train_cal,8861
accuracy,17174b843bf68165,779020,0.153224832306755,0.991983777779396,0.920778514701055,0.0662951479473135,val_cal,8861
ce,96aa7c7c66e2fdd0,779019,0.151006474194151,0.990440614840496,0.911047781898501,0.0285832661776825,beta,8861
ce,96aa7c7c66e2fdd0,779019,0.151006474194151,0.992244452260157,0.920242208648332,0.104972249919186,empirical,8861
ce,96aa7c7c66e2fdd0,779019,0.151006474194151,0.991698685146781,0.91945544459067,0.0512978114087207,empirical_cumulative,8861
ce,96aa7c7c66e2fdd0,779019,0.151006474194151,0.984498864555939,0.872037041212855,0.000491715952085012,fixed_05,8861
ce,96aa7c7c66e2fdd0,779019,0.151006474194151,0.990722815849865,0.913019592457132,0.0316747025801429,platt,8861
ce,96aa7c7c66e2fdd0,779019,0.151006474194151,0.992063029675766,0.921276379871164,0.0687218572293627,train_cal,8861
ce,96aa7c7c66e2fdd0,779019,0.151006474194151,0.992063029675766,0.921276379871164,0.0687218572293627,val_cal,8861
fitness,96aa7c7c66e2fdd0,779019,0.151006474194151,0.990440614840496,0.911047781898501,0.0285832661776825,beta,8861
fitness,96aa7c7c66e2fdd0,779019,0.151006474194151,0.992244452260157,0.920242208648332,0.104972249919186,empirical,8861
fitness,96aa7c7c66e2fdd0,779019,0.151006474194151,0.991698685146781,0.91945544459067,0.0512978114087207,empirical_cumulative,8861
fitness,96aa7c7c66e2fdd0,779019,0.151006474194151,0.984498864555939,0.872037041212855,0.000491715952085012,fixed_05,8861
fitness,96aa7c7c66e2fdd0,779019,0.151006474194151,0.990722815849865,0.913019592457132,0.0316747025801429,platt,8861
fitness,96aa7c7c66e2fdd0,779019,0.151006474194151,0.992063029675766,0.921276379871164,0.0687218572293627,train_cal,8861
fitness,fda8655967518953,778967,0.17633523839488,0.991686797362326,0.917236361616734,0.0809282504473249,val_cal,8860
fitness,96aa7c7c66e2fdd0,779019,0.151006474194151,0.992063029675766,0.921276379871164,0.0687218572293627,val_cal,8861
fpr,47adb2f7b0992aa9,779022,0.15824000468816,0.991591159600896,0.91859097247544,0.0510428475817136,beta,8861
fpr,47adb2f7b0992aa9,779022,0.15824000468816,0.99207534584885,0.919228005325295,0.0988030358907116,empirical,8861
fpr,47adb2f7b0992aa9,779022,0.15824000468816,0.991591159600896,0.91859097247544,0.0510428475817136,empirical_cumulative,8861
fpr,47adb2f7b0992aa9,779022,0.15824000468816,0.984277387634734,0.870647812091482,0.000537245206907699,fixed_05,8861
fpr,47adb2f7b0992aa9,779022,0.15824000468816,0.990530576452591,0.91154306751865,0.0313423390199373,platt,8861
fpr,47adb2f7b0992aa9,779022,0.15824000468816,0.991872718027322,0.919835867293259,0.0664636061901575,val_cal,8861
